contract_address,owner,name,tx_hash,block_number,block_hash,network,tx_index,log_index
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,cdn,0x9c52032332c80939d8c9f4e6c7d02144d9474e844d6af139bcf701564fdf95f4,599536,0x0a8d680525b72736452221d422098e7604a81402636c09a553129f2e3cbc7d1d,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,cdn2,0x5a62310509e3cc44c54c3b7a54a1a604d456cfced0b96919fd5b5ccced202bd5,599590,0x3ba1817f41fbc410a40517ff2dcb011a44958b9875a234baa195558a95f39b50,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,cgr,0x7d1ef8e7d2c8d0a975178a36b648188419c7c7f17aed10f3eb57c45be8fb37f0,622794,0x52672ed72875252e31b7d5cc6613a06f2551742fd0304905a8878866321119ee,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,vcv,0xb1cd7c74f8c956f26ffebafb53b66859f4bbe4de481f040baf7bcc0f57f9451e,632239,0x7777b26ca6db20842bc5251f2df551a068ad1fafd05610cda09f80383dea2251,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,vcv2,0xd790ec64b79da8e28982ff3cc96ffe8e968a26da2c281b10dfec07fd71ffd261,632243,0xfcf7530d47e7caec6ad9054167c383322e317b6b3ca0127e6048aa947559cad1,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,vcv3,0x4e62e50413408d2f14bd3bf46c2694493010abe1d23f5c2d3dc920167cc9c625,632247,0x40ce903389d43c1f17b15b57a0af2631db1456b54367fd6c40c132900e5e6bb0,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,vcv4,0xb10fe4aec28a63735a15ffc553d783c9e18ebb1212fe43c13f563c9a95871aec,632249,0x2d989f0cdea81a26d22c7b7a3e5f39778eb12a6ffa53d03c856b04d954bbbfd7,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,vcv5,0x78bb835ddba2f8b54988514a3cb02a40b1890f06fc1efe74c5e66f6423531656,632252,0x0fd119ac70ebe8a889280bf1356c2581b7560cc2e7a4a2e7e3caa5dd31617e06,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,vcv6,0x2c18d35ed8f91c8796593d91094b4a7aa97f72d35dfe47b48d1c0870f33d122f,632258,0x75bb28d6bde12355eee7d9d0afde10f17704e10b7284a4d1852b7a706beed947,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,vcv7,0xe47732f58cae5f1bcd235ee6b81f3eb27ce816ee8da21d00f6e370327a482d4a,632267,0xf055306b83996f9b6d4a85a212ff0c54c4c8ecaa7f660be5b054363ce5e54a3e,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,vcv8,0xf9bf07307acf4e57c3f90ecf297549e364a3ba29dbee6866cff9dac56d61c541,632270,0x3d77954f0205ba09162deea8905468139c2713e59843710af9ae17577d96de49,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,vcv9,0x0341ef95d46f82dbdf3fec5c0410947ffdd7fb6f6b10881cddc6a97f3f25666a,632272,0x5fdde04097f1d074a7f68386c33655ee52af39d677e646bf44e3e5e47abf6896,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,vcv10,0x5d213553b94784b4e6ec85aed0b74a9de01916be73441b600bd17ba0430d6628,632274,0xa469c8e85dc8c400d9759197fbdb972a533add3db7069b6dfeae4c2e7250e3fb,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,vcv11,0xc2fdaf3191c7235622d93808626b399bf22f15cb3901fd4a1caa7d9062557715,632276,0xa140251eb1d827ed876e9aa042d38aa1397c88e14cc8849007c679bdf18049af,kura
0x9dbec436843b2f12baf8a372cc210a0da8c10281,0x51908f598a5e0d8f1a3babfa6df76f9704dad072,vcv14,0x960fc5e4c14f53c4c018afa233c17df92bb99b6970ff10ecba5aee6f187e91a6,632282,0x2d1b6ac2233c71adf0376f61b52fd5312f2e17f45062321094a53d639b1a058f,kura
